mapping time: 49244.5452299
reduce time: 1.06958699226
5Qs, [2583224, 4894]
KJo, [4448220, 7343]
74o, [2829852, 7343]
Q7o, [3801084, 7343]
99, [5292606, 7347]
K8o, [4113948, 7343]
3Qs, [2497404, 4894]
78s, [2346500, 4894]
32o, [2370738, 7343]
36s, [1934836, 4894]
87o, [3307686, 7343]
KTo, [4387200, 7343]
3Qo, [3540456, 7343]
95o, [3132414, 7343]
T5o, [3248652, 7343]
J6o, [3512844, 7343]
5As, [2933692, 4894]
